year,stage,input,output,capacity
2077,proc,brine,loh,100
2077,proc,brine,lce,100
2077,proc,spod,loh,100
2077,proc,spod,lce,100
2077,proc,clay,loh,3398.329877
2077,proc,clay,lce,1919.467198
2078,proc,brine,loh,100
2078,proc,brine,lce,100
2078,proc,spod,loh,100
2078,proc,spod,lce,100
2078,proc,clay,loh,3441.7576
2078,proc,clay,lce,1943.423358
2079,proc,brine,loh,100
2079,proc,brine,lce,100
2079,proc,spod,loh,100
2079,proc,spod,lce,100
2079,proc,clay,loh,3484.855716
2079,proc,clay,lce,1967.197696
2080,proc,brine,loh,100
2080,proc,brine,lce,100
2080,proc,spod,loh,100
2080,proc,spod,lce,100
2080,proc,clay,loh,3527.670538
2080,proc,clay,lce,1990.815759
2081,proc,brine,loh,100
2081,proc,brine,lce,100
2081,proc,spod,loh,100
2081,proc,spod,lce,100
2081,proc,clay,loh,3570.246621
2081,proc,clay,lce,2014.302127
2082,proc,brine,loh,100
2082,proc,brine,lce,100
2082,proc,spod,loh,100
2082,proc,spod,lce,100
2082,proc,clay,loh,3612.626675
2082,proc,clay,lce,2037.680358
2083,proc,brine,loh,100
2083,proc,brine,lce,100
2083,proc,spod,loh,100
2083,proc,spod,lce,100
2083,proc,clay,loh,3654.851508
2083,proc,clay,lce,2060.972964
2084,proc,brine,loh,100
2084,proc,brine,lce,100
2084,proc,spod,loh,100
2084,proc,spod,lce,100
2084,proc,clay,loh,3696.96001
2084,proc,clay,lce,2084.201398
2085,proc,brine,loh,100
2085,proc,brine,lce,100
2085,proc,spod,loh,3738.989151
2085,proc,spod,lce,100
2085,proc,clay,loh,100
2085,proc,clay,lce,2107.386054
2086,proc,brine,loh,100
2086,proc,brine,lce,100
2086,proc,spod,loh,100
2086,proc,spod,lce,100
2086,proc,clay,loh,3780.974013
2086,proc,clay,lce,2130.546284
2087,proc,brine,loh,100
2087,proc,brine,lce,100
2087,proc,spod,loh,100
2087,proc,spod,lce,100
2087,proc,clay,loh,3822.947826
2087,proc,clay,lce,2153.700419
2088,proc,brine,loh,100
2088,proc,brine,lce,100
2088,proc,spod,loh,100
2088,proc,spod,lce,100
2088,proc,clay,loh,3864.942028
2088,proc,clay,lce,2176.865802
2089,proc,brine,loh,100
2089,proc,brine,lce,100
2089,proc,spod,loh,3906.986323
2089,proc,spod,lce,100
2089,proc,clay,loh,100
2089,proc,clay,lce,2200.058817
2090,proc,brine,loh,100
2090,proc,brine,lce,100
2090,proc,spod,loh,100
2090,proc,spod,lce,100
2090,proc,clay,loh,3949.108758
2090,proc,clay,lce,2223.294937
2091,proc,brine,loh,100
2091,proc,brine,lce,100
2091,proc,spod,loh,100
2091,proc,spod,lce,100
